cat,value,label,drainage_area_sqkm,slope_number,slope_minimum,slope_maximum,slope_range,slope_average,slope_stddev,slope_variance,slope_coeff_var,slope_sum,slope_first_quartile,slope_median,slope_third_quartile,relief_100m_number,relief_100m_minimum,relief_100m_maximum,relief_100m_range,relief_100m_average,relief_100m_stddev,relief_100m_variance,relief_100m_coeff_var,relief_100m_sum,relief_100m_first_quartile,relief_100m_median,relief_100m_third_quartile,relief_1km_number,relief_1km_minimum,relief_1km_maximum,relief_1km_range,relief_1km_average,relief_1km_stddev,relief_1km_variance,relief_1km_coeff_var,relief_1km_sum,relief_1km_first_quartile,relief_1km_median,relief_1km_third_quartile,relief_2point5km_number,relief_2point5km_minimum,relief_2point5km_maximum,relief_2point5km_range,relief_2point5km_average,relief_2point5km_stddev,relief_2point5km_variance,relief_2point5km_coeff_var,relief_2point5km_sum,relief_2point5km_first_quartile,relief_2point5km_median,relief_2point5km_third_quartile,relief_5km_number,relief_5km_minimum,relief_5km_maximum,relief_5km_range,relief_5km_average,relief_5km_stddev,relief_5km_variance,relief_5km_coeff_var,relief_5km_sum,relief_5km_first_quartile,relief_5km_median,relief_5km_third_quartile,ksn_points_count,ksn_min,ksn_max,ksn_range,ksn_mean,ksn_stddev,ksn_variance,ksn_median,prop_kjf_average,_number,elev_number,elev_minimum,elev_maximum,elev_range,elev_average,elev_stddev,elev_variance,elev_coeff_var,elev_sum,elev_first_quartile,elev_median,elev_third_quartile
1,280,,47.6144,476144,0.000658415257930756,160.626953125,160.626294709742,29.0346761651159,16.3775280437981,268.223424825392,56.4067873554418,13824686.8479629,16.9796,28.7719,39.6074,476144,1.66715621948242,125.27677154541,123.609615325928,51.8551223531354,20.0155812995148,400.623494757489,38.5990436262168,24690505.3777113,39.7047,53.0125,65.1439,476144,118.403495788574,490.368347167969,371.964851379395,242.377930549553,89.1769205012562,7952.52315008737,36.7925084181806,115406797.363586,173.573,207.799,303.549,476144,195.196624755859,559.763061523438,364.566436767578,390.206873874574,119.285389567643,14229.0041643043,30.5697817117351,185794661.754135,249.073,423.994,490.049,476144,262.092224121094,599.838623046875,337.746398925781,536.050673272494,69.136720473795,4779.88611787166,12.897422561141,255237311.774658,492.195,572.07,586.515,311,23.537307,282.526125,258.988818,89.4166687845659,45.8252489565127,2099.95344192637,77.090406,0.0948746597667932,,476144,14.6284456253052,567.972045898438,553.343600273132,180.665351166078,112.0109471903,12546.4522904681,61.9991306951451,86022722.965621,92.0863,156.44,243.556
2,281,,31.3116,313116,0.00276381336152554,170.712600708008,170.709836894646,34.078564561641,19.5780376111077,383.299556701948,57.4497132227947,10670543.8212828,19.7783,31.849,44.8904,313116,2.06553649902344,156.343154907227,154.277618408203,61.8500081567498,23.7419578235807,563.680561296683,38.3863455012167,19366227.1540089,44.2425,60.8061,77.4938,313116,132.05810546875,500.000122070312,367.942016601562,319.063624513389,82.4933613277817,6805.15466315595,25.8548311339452,99903925.8531342,265.652,324.622,374.761,313116,229.851684570312,675.4013671875,445.549682617188,520.735340083516,72.4635143698537,5250.96091482999,13.9156129403915,163050566.74559,486.092,523.118,579.118,313116,519.833801269531,780.632385253906,260.798583984375,657.855247836441,47.8579635766466,2290.38467770363,7.27484712389879,205985003.781555,610.34,673.252,686.4,208,25.98088,674.936222,648.955342,262.482486182692,169.069343479395,28584.4429045535,224.5714605,0.960883506432121,,313116,14.6789274215698,694.720764160156,680.041836738586,337.086051119877,168.591903434853,28423.2299037869,50.0145001179232,105547035.982451,171.623,360.116,468.052
3,282,,10.0085,100085,0.0329271033406258,101.187408447266,101.154481343925,29.7319093782349,16.2958440871074,265.554534511312,54.8092753808696,2975718.15012064,18.0112,29.4494,40.4576,100085,2.2742919921875,130.291107177734,128.016815185547,55.2077678279836,23.0043644265592,529.200782669944,41.6687095523156,5525469.44306374,39.9077,54.6967,71.7538,100085,163.123352050781,423.864501953125,260.741149902344,279.413958680013,61.6123207864037,3796.07807268672,22.0505521905448,27965146.0544891,232.422,275.839,332.962,100085,388.883117675781,583.974304199219,195.091186523438,443.631643254906,52.8203006128394,2789.98415683072,11.9063419879834,44400873.0151672,395.761,449.706,464.636,100085,455.815002441406,694.8388671875,239.023864746094,579.49403863741,64.5936299476887,4172.33702981894,11.1465564166235,57998660.8570251,553.122,587.634,589.79,79,22.84056,651.606025,628.765465,152.524806088608,182.621795003519,33350.7200103072,72.578786,0,,100085,16.4160175323486,455.550048828125,439.134031295776,279.296031214063,65.8775379827402,4339.85001066737,23.5869939491725,27953343.2840595,232.347,279.151,329.234
6,283,,17.9752,179752,0.00627746665850282,131.255386352539,131.249108885881,35.9131639886891,15.9279936993391,253.700983286185,44.3514074793176,6455463.05329485,25.1285,35.4562,46.1124,179752,3.99005126953125,131.083221435547,127.093170166016,66.5414353763953,21.3250774080068,454.75892645748,32.0478169540231,11960956.0917778,52.9757,67.5368,81.8982,179752,198.971313476562,641.329956054688,442.358642578125,400.718876713856,95.6019172509941,9139.72658206592,23.8576026253091,72030019.5270691,337.436,390.792,462.73,179752,457.122619628906,812.164489746094,355.041870117188,669.518121896691,98.8789961510266,9777.05587983474,14.7686810733234,120347221.447174,559.836,688.617,757.941,179752,816.05078125,847.348510742188,31.2977294921875,834.37034520993,10.6204583827673,112.794136260093,1.27287102708512,149979738.292175,823.664,837.217,844.548,94,96.31411,518.497149,422.183039,315.532923351064,109.277397173394,11941.5495329917,295.537753,0,,179752,35.2057189941406,845.6142578125,810.408538818359,420.379043089701,166.081654635042,27583.1160063133,39.5075961480799,75563973.7534599,296.603,435.444,534.861
7,284,,29.2105,292105,0.0913104340434074,144.642272949219,144.550962515175,36.4104421397745,16.4292761946235,269.921116279223,45.1224298006431,10635672.2012388,25.1423,35.6351,46.4623,292105,5.09515380859375,150.046630859375,144.951477050781,68.5203214919926,21.9295466733078,480.905017296787,32.0044421797854,20015128.5094185,54.4688,70.0941,84.3481,292105,190.566589355469,630.720092773438,440.153503417969,446.933617314945,91.1206426417447,8302.97151544454,20.3879589969474,130551544.285782,397.086,456.011,521.499,292105,555.832458496094,812.185852050781,256.353393554688,685.21778290019,67.0947131711953,4501.70053552496,9.79173553949758,200155540.47406,630.028,670.413,751.319,292105,696.478454589844,834.936340332031,138.457885742188,797.65426112021,24.5887835597063,604.608276946082,3.08263677112115,232998797.944519,782.76,807.655,816.537,163,131.367259,855.059257,723.691998,328.618617398773,146.486410533537,21458.2684709998,307.140638,0,,292105,43.7016639709473,847.093688964844,803.392024993896,459.465461452793,181.836959051139,33064.6796769655,39.5757623383017,134212158.617668,314.839,477.244,608.882
9,285,,17.7418,177418,0.0077219121158123,144.383316040039,144.375594127923,35.7920746760574,15.5352553081308,241.344157488805,43.4041766193644,6350158.30487676,26.0721,35.1774,44.6009,177418,2.838134765625,137.318695068359,134.480560302734,67.6447443694461,20.2418392882272,409.73205777042,29.9237427488456,12001395.2565384,55.7802,67.9859,81.0614,177418,204.298065185547,592.034790039062,387.736724853516,393.176671478017,94.7346762806427,8974.65888999816,24.0946839303866,69756618.7002869,314.827,395.398,459.209,177418,449.515441894531,737.280395507812,287.764953613281,610.021037088254,67.8353353450038,4601.63272136912,11.1201632764658,108228712.358124,566.437,618.948,664.213,177418,667.50439453125,887.405578613281,219.901184082031,730.365858496265,38.8800498919199,1511.65827959818,5.32336628822837,129580049.88269,700.711,710.912,761.694,102,109.826832,629.549614,519.722782,336.243303607843,128.109038965037,16411.9258645453,320.5433655,0,,177418,101.726547241211,794.283264160156,692.556716918945,526.985867786346,130.292761797114,16976.2037767196,24.7241472232304,93496778.690918,441.286,543.095,630.277
8,286,,20.3758,203758,0.0435778014361858,156.142120361328,156.098542559892,33.4784308553805,12.7117783937866,161.58930993274,37.9700543573823,6821498.11423061,25.085,31.7825,40.0769,203758,6.4716796875,139.545989990234,133.074310302734,64.4288851573103,16.1199809006404,259.85378423701,25.0198041783303,13127900.7818832,53.1833,63.2813,74.5604,203758,256.544372558594,681.771484375,425.227111816406,486.480225832876,85.9951913045527,7395.17292750661,17.6770168113874,99124237.8552551,426.157,492.37,547.859,203758,582.478881835938,852.144165039062,269.665283203125,781.285001619197,56.184997399114,3156.75393273844,7.1913574793669,159193069.359924,736.928,793.192,835.635,203758,880.434020996094,986.387817382812,105.953796386719,911.280280638317,15.6611637163987,245.272048951843,1.71858911568114,185680647.422302,900.15,909.48,918.38,96,32.806326,672.506914,639.700588,480.557045489583,125.08813261971,15647.0409222862,500.9235015,0.939570470852678,,203758,114.266944885254,980.826477050781,866.559532165527,596.472865912957,202.568023302931,41033.804064857,33.9609787601792,121536118.212692,442.38,615.849,764.612
12,288,,10.6925,106925,0.169024854898453,175.746231079102,175.577206224203,35.5022355592187,16.7482919399675,280.505282906379,47.1753163600948,3796076.53716946,24.6167,32.3424,42.6658,106925,7.7735595703125,175.4833984375,167.709838867188,67.6969398325505,21.0103727006581,441.435761020559,31.0359268123901,7238495.29159546,53.851,64.6814,78.6275,106925,273.521362304688,674.048950195312,400.527587890625,507.753367374787,85.2481303539673,7267.24372884701,16.7892791720362,54291528.8065491,450.473,522.468,567.528,106925,668.047607421875,950.740417480469,282.692810058594,831.7665695057,56.6044795864186,3204.06710924928,6.80533236867855,88936640.444397,794.116,836.042,883.696,106925,918.380004882812,1135.31335449219,216.933349609375,1060.16421419427,70.174888059268,4924.5149141308,6.61924701095494,113358058.602722,986.388,1085.38,1126.25,43,407.912274,646.385236,238.472962,577.880188813953,61.4878926449597,3780.76094191809,603.226524,0.986934767360299,,106925,132.379608154297,1024.60925292969,892.229644775391,645.277186204091,192.62801002604,37105.5502465922,29.8519789858361,68996263.1348724,509.013,668.169,806.679
14,289,,44.2093,442093,0.00710502080619335,226.725219726562,226.718114705756,44.552683484578,22.8466218866038,521.968131629445,51.2800130086715,19696429.4997475,27.5497,39.8204,57.9867,442093,5.265380859375,192.884216308594,187.618835449219,83.4531954050847,31.4790669282787,990.93165467505,37.7206250467441,36894073.5162201,57.9435,77.4393,107.378,442093,239.9404296875,860.491088867188,620.550659179688,543.436524115303,125.353481085691,15713.4952203007,23.0668119500731,240249483.255707,452.954,522.426,628.613,442093,604.006408691406,1078.82592773438,474.819519042969,872.405934386917,101.492534518759,10300.7345630415,11.6336364206512,385684556.750916,798.778,869.543,944.802,442093,911.932250976562,1132.88586425781,220.95361328125,1076.42665302213,47.6940414894405,2274.72159359647,4.43077485637656,475880688.314514,1039.46,1085.18,1118.16,236,245.628966,795.151728,549.522762,444.953076059322,125.131507155351,15657.8940829697,434.833681,0.98970578588668,,442093,147.139007568359,1248.71496582031,1101.57595825195,695.117779232232,220.429805544807,48589.2991725216,31.7111448060321,307306704.374115,536.743,698.737,863.55
13,287,,15.3863,153863,0.130037695169449,161.242233276367,161.112195581198,33.9302558461993,14.8956969106016,221.881786452506,43.9009271787443,5220610.95526376,23.769,32.1167,42.6466,153863,5.45196533203125,143.9765625,138.524597167969,64.9024169370582,21.1987573139599,449.387311656167,32.6625082922848,9986080.57718658,50.1675,63.449,79.6811,153863,207.633483886719,582.882995605469,375.24951171875,422.915701272901,73.032281480339,5333.71413822347,17.2687562226999,65071078.5449524,373.315,428.443,473.239,153863,498.901672363281,674.955383300781,176.0537109375,612.850578970123,48.5527269667343,2357.36729590625,7.92244123328164,94295028.6320801,576.737,623.024,659.57,153863,648.320129394531,859.979553222656,211.659423828125,716.801291772986,62.3039453683456,3881.78160846179,8.69194100002788,110289197.156067,675.041,679.469,747.742,80,173.256588,455.042714,281.786126,309.981056575,51.952097996245,2699.02048621144,301.346831,0.00200828009332978,,153863,117.249710083008,788.810607910156,671.560897827148,490.380737615887,141.065916540883,19899.5928095192,28.7666104559308,75451451.4317932,381.195,500.166,605.915
